#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:32687633	(2020) Zonal regulation of collagen-type proteins and posttranslational modifications in prostatic benign and cancer tissues by imaging mass spectrometry.	6	27	2.6	2.63e-08	9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,COL4A5,COL2A1,COL8A2,P4HA2,P4HA3
PMID:28032277	(2017) Genomic strategies to understand causes of keratoconus.	3	38	2.15	0.0261	9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	VSX1,SLC4A11,COL8A2
PMID:25097799	(2014) Developments in Ocular Genetics: 2013 Annual Review.	4	159	1.65	0.0272	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
PMID:33692478	(2021) Protein network analyses of pulmonary endothelial cells in chronic thromboembolic pulmonary hypertension.	3	39	2.14	0.0277	9606.ENSP00000261405,9606.ENSP00000263556,9606.ENSP00000384999	VWF,P4HA1,P4HA2
PMID:26758872	(2016) Keratin 12 missense mutation induces the unfolded protein response and apoptosis in Meesmann epithelial corneal dystrophy.	3	39	2.14	0.0277	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:35720665	(2022) Reduced Bone Mass in Collagen Prolyl 4-Hydroxylase P4ha1 (+-); P4ha2 (--) Compound Mutant Mice.	2	2	3.25	0.0316	9606.ENSP00000263556,9606.ENSP00000384999	P4HA1,P4HA2
PMID:33923743	(2021) Expression and Function of ZEB1 in the Cornea.	3	41	2.11	0.0316	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
PMID:31250915	(2019) Comparative analysis of p4ha1 and p4ha2 expression during Xenopus laevis development.	2	2	3.25	0.0316	9606.ENSP00000263556,9606.ENSP00000384999	P4HA1,P4HA2
PMID:26619383	(2016) Congenital Corneal Endothelial Dystrophies Resulting From Novel De Novo Mutations.	2	2	3.25	0.0316	9606.ENSP00000354487,9606.ENSP00000369399	ZEB1,SLC4A11
PMID:26001784	(2015) Severe Extracellular Matrix Abnormalities and Chondrodysplasia in Mice Lacking Collagen Prolyl 4-Hydroxylase Isoenzyme II in Combination with a Reduced Amount of Isoenzyme I.	2	2	3.25	0.0316	9606.ENSP00000263556,9606.ENSP00000384999	P4HA1,P4HA2
PMID:24607405	(2014) Metastatic stem cells: sources, niches, and vital pathways.	3	41	2.11	0.0316	9606.ENSP00000263556,9606.ENSP00000354487,9606.ENSP00000384999	P4HA1,ZEB1,P4HA2
PMID:25007886	(2014) Biosynthetic and functional defects in newly identified SLC4A11 mutants and absence of COL8A2 mutations in Fuchs endothelial corneal dystrophy.	2	2	3.25	0.0316	9606.ENSP00000369399,9606.ENSP00000380901	SLC4A11,COL8A2
PMID:23927729	(2013) Direct isolation of myofibroblasts and fibroblasts from bleomycin-injured lungs reveals their functional similarities and differences.	3	41	2.11	0.0316	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:22321803	(2012) Prevalence and severity of fuchs corneal dystrophy in Tangier Island.	2	2	3.25	0.0316	9606.ENSP00000354487,9606.ENSP00000369399	ZEB1,SLC4A11
PMID:20144242	(2010) Genetic analysis of patients with Fuchs endothelial corneal dystrophy in India.	2	2	3.25	0.0316	9606.ENSP00000369399,9606.ENSP00000380901	SLC4A11,COL8A2
PMID:22737377	(2010) The genetic basis of fuchs endothelial corneal dystrophy.	2	2	3.25	0.0316	9606.ENSP00000369399,9606.ENSP00000380901	SLC4A11,COL8A2
PMID:10652357	(2000) The transcription factor deltaEF1 is inversely expressed with type II collagen mRNA and can repress Col2a1 promoter activity in transfected chondrocytes.	2	2	3.25	0.0316	9606.ENSP00000354487,9606.ENSP00000369889	ZEB1,COL2A1
PMID:35181609	(2022) Network modeling predicts personalized gene expression and drug responses in valve myofibroblasts cultured with patient sera.	3	42	2.1	0.0322	9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000401749	P4HA1,COL4A5,P4HA3
PMID:26176855	(2015) Nonrandom Distribution of miRNAs Genes and Single Nucleotide Variants in Keratoconus Loci.	3	42	2.1	0.0322	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399	ZEB1,VSX1,SLC4A11
PMID:24827502	(2014) Hypoxia and the extracellular matrix: drivers of tumour metastasis.	3	43	2.09	0.0341	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:30768852	(2020) Genetic Disorders of the Extracellular Matrix.	3	44	2.08	0.0363	9606.ENSP00000261405,9606.ENSP00000331902,9606.ENSP00000369889	VWF,COL4A5,COL2A1
PMID:33558482	(2021) Dynamically remodeled hepatic extracellular matrix predicts prognosis of early-stage cirrhosis.	3	45	2.07	0.0385	9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000384999	P4HA1,COL4A5,P4HA2
PMID:33096662	(2020) Therapy Resistance, Cancer Stem Cells and ECM in Cancer: The Matrix Reloaded.	3	45	2.07	0.0385	9606.ENSP00000263556,9606.ENSP00000354487,9606.ENSP00000384999	P4HA1,ZEB1,P4HA2
PMID:29787599	(2018) Pathological molecular mechanism of symptomatic late-onset Fuchs endothelial corneal dystrophy by bioinformatic analysis.	3	45	2.07	0.0385	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:26667076	(2016) Role of Intestinal HIF-2alpha in Health and Disease.	3	46	2.06	0.0405	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:25254113	(2014) Genetics of keratoconus: where do we stand?	3	46	2.06	0.0405	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
PMID:33352548	(2021) Complex Phenotypic Presentation of Syndromic Hearing Loss Deciphered as Three Separate Clinical Entities: How Genetic Testing Guides Final Diagnosis.	2	3	3.07	0.0481	9606.ENSP00000331902,9606.ENSP00000369889	COL4A5,COL2A1
PMID:34218269	(2021) Targeting HIF-activated collagen prolyl 4-hydroxylase expression disrupts collagen deposition and blocks primary and metastatic uveal melanoma growth.	2	3	3.07	0.0481	9606.ENSP00000263556,9606.ENSP00000384999	P4HA1,P4HA2
PMID:34380324	(2021) Challenges in corneal endothelial cell culture.	3	49	2.04	0.0481	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:31691803	(2020) Defective cell adhesion function of solute transporter, SLC4A11, in endothelial corneal dystrophies.	2	3	3.07	0.0481	9606.ENSP00000369399,9606.ENSP00000380901	SLC4A11,COL8A2
PMID:30777984	(2019) Unilateral corneal edema in young: A diagnostic dilemma.	2	3	3.07	0.0481	9606.ENSP00000369399,9606.ENSP00000380901	SLC4A11,COL8A2
PMID:27755191	(2017) CTG18.1 Expansion in TCF4 Increases Likelihood of Transplantation in Fuchs Corneal Dystrophy.	2	3	3.07	0.0481	9606.ENSP00000354487,9606.ENSP00000369399	ZEB1,SLC4A11
PMID:26280645	(2016) [TGC Repeats in Intron 2 of the TCF4 Gene have a Good Predictive Power Regarding to Fuchs Endothelial Corneal Dystrophy].	2	3	3.07	0.0481	9606.ENSP00000369399,9606.ENSP00000380901	SLC4A11,COL8A2
PMID:27454658	(2016) In Vivo Imaging of Corneal Endothelial Dystrophy in Boston Terriers: A Spontaneous, Canine Model for Fuchs Endothelial Corneal Dystrophy.	2	3	3.07	0.0481	9606.ENSP00000369399,9606.ENSP00000380901	SLC4A11,COL8A2
PMID:27706047	(2016) Implications of Hypoxia in Breast Cancer Metastasis to Bone.	3	50	2.03	0.0481	9606.ENSP00000263556,9606.ENSP00000354487,9606.ENSP00000384999	P4HA1,ZEB1,P4HA2
PMID:26689688	(2015) Efficient Generation of Human Embryonic Stem Cell-Derived Corneal Endothelial Cells by Directed Differentiation.	3	49	2.04	0.0481	9606.ENSP00000261405,9606.ENSP00000369399,9606.ENSP00000380901	VWF,SLC4A11,COL8A2
PMID:23423382	(2013) Hypoxia-inducible factor 1 (HIF-1) promotes extracellular matrix remodeling under hypoxic conditions by inducing P4HA1, P4HA2, and PLOD2 expression in fibroblasts.	2	3	3.07	0.0481	9606.ENSP00000263556,9606.ENSP00000384999	P4HA1,P4HA2
PMID:22923933	(2012) Preface to the Journal of Cardiovascular Disease Research, third issue 2012.	2	3	3.07	0.0481	9606.ENSP00000261405,9606.ENSP00000354487	VWF,ZEB1
PMID:20546778	(2010) Recent therapeutic approaches to platelet activation in coronary artery disease.	2	3	3.07	0.0481	9606.ENSP00000261405,9606.ENSP00000380901	VWF,COL8A2
PMID:20808945	(2010) The PPCD1 mouse: characterization of a mouse model for posterior polymorphous corneal dystrophy and identification of a candidate gene.	2	3	3.07	0.0481	9606.ENSP00000354487,9606.ENSP00000380901	ZEB1,COL8A2
PMID:16384943	(2006) H244R VSX1 is associated with selective cone ON bipolar cell dysfunction and macular degeneration in a PPCD family.	2	3	3.07	0.0481	9606.ENSP00000365899,9606.ENSP00000380901	VSX1,COL8A2
PMID:9028444	(1997) Marshall-Stickler phenotype associated with von Willebrand disease.	2	3	3.07	0.0481	9606.ENSP00000261405,9606.ENSP00000369889	VWF,COL2A1
